account_id,name,date,amount,new_balance,transaction_type,from_account,to_account
1,Transaction 2,2025-04-14 00:00:00,302.42,8386.23,transfer,1,8
1,Transaction 7,2025-01-08 00:00:00,403.8,3091.05,transfer,1,10
5,Transaction 8,2025-01-04 00:00:00,211.73,4200.25,transfer,5,7
4,Transaction 10,2025-01-29 00:00:00,335.29,5763.23,transfer,4,9
2,Transaction 11,2025-04-15 00:00:00,407.44,5552.7,transfer,2,7
2,Transaction 12,2025-04-12 00:00:00,222.65,8771.45,transfer,2,5
3,Transaction 14,2025-02-18 00:00:00,297.65,6971.23,transfer,3,6
7,Transaction 15,2025-03-05 00:00:00,185.21,900.19,transfer,7,4
2,Transaction 16,2025-03-06 00:00:00,481.58,2986.51,transfer,2,1
1,Transaction 17,2025-02-06 00:00:00,274.15,8661.17,transfer,1,2
6,Transaction 18,2025-04-11 00:00:00,472.77,4019.75,transfer,6,9
6,Transaction 19,2025-04-12 00:00:00,112.22,1758.78,transfer,6,4
2,Transaction 20,2025-02-28 00:00:00,49.84,83.48,transfer,2,5
3,Transaction 22,2025-04-16 00:00:00,443.51,3584.92,transfer,3,9
5,Transaction 26,2025-04-06 00:00:00,210.94,3859.75,transfer,5,2
5,Transaction 30,2025-03-16 00:00:00,401.6,2149.84,transfer,5,10
6,Transaction 32,2025-03-03 00:00:00,152.14,6805.28,transfer,6,10
7,Transaction 33,2025-01-18 00:00:00,335.04,5240.08,transfer,7,8
9,Transaction 35,2025-03-10 00:00:00,453.68,5634.19,transfer,9,3
5,Transaction 36,2025-01-03 00:00:00,172.78,1800.85,transfer,5,10
5,Transaction 38,2025-03-29 00:00:00,251.01,9691.01,transfer,5,4
2,Transaction 39,2025-04-03 00:00:00,243.16,5514.58,transfer,2,9
5,Transaction 42,2025-01-02 00:00:00,148.52,7025.05,transfer,5,7
5,Transaction 44,2025-01-17 00:00:00,392.78,6893.49,transfer,5,7
10,Transaction 48,2025-03-08 00:00:00,226.65,4612.8,transfer,10,8
4,Transaction 51,2025-03-24 00:00:00,384.6,4931.94,transfer,4,8
6,Transaction 52,2025-03-12 00:00:00,30.07,4788.5,transfer,6,9
2,Transaction 55,2025-03-07 00:00:00,230.06,9755.94,transfer,2,8
5,Transaction 66,2025-01-29 00:00:00,315.9,7822.79,transfer,5,3
5,Transaction 67,2025-03-31 00:00:00,178.15,7398.56,transfer,5,4
6,Transaction 69,2025-02-13 00:00:00,240.69,6496.57,transfer,6,3
3,Transaction 71,2025-02-28 00:00:00,205.57,6662.73,transfer,3,5
2,Transaction 73,2025-04-14 00:00:00,415.92,8539.45,transfer,2,9
1,Transaction 74,2025-04-12 00:00:00,358.82,200.53,transfer,1,8
1,Transaction 76,2025-04-12 00:00:00,259.7,2487.83,transfer,1,4
9,Transaction 78,2025-02-13 00:00:00,268.04,8622.78,transfer,9,5
8,Transaction 79,2025-01-05 00:00:00,484.28,8924.59,transfer,8,5
4,Transaction 81,2025-04-04 00:00:00,87.91,1354.98,transfer,4,9
9,Transaction 85,2025-01-15 00:00:00,101.01,1529.19,transfer,9,1
8,Transaction 88,2025-02-03 00:00:00,484.61,3186.74,transfer,8,3
10,Transaction 90,2025-03-18 00:00:00,52.65,7201.59,transfer,10,7
10,Transaction 97,2025-03-08 00:00:00,65.17,2788.19,transfer,10,8
7,Transaction 99,2025-02-12 00:00:00,245.07,9023.44,transfer,7,5
