account_id,name,date,amount,new_balance,transaction_type
7,Deposit,2025-03-27 00:00:00,326.3,3647.43,deposit
8,Withdrawal,2025-04-07 00:00:00,468.51,4211.55,withdrawal
1,Withdrawal,2025-03-21 00:00:00,499.24,-120.53,withdrawal
2,Deposit,2025-03-10 00:00:00,114.45,4386.03,deposit
5,Deposit,2025-02-14 00:00:00,441.62,3378.32,deposit
4,Withdrawal,2025-02-06 00:00:00,87.3,1991.2,withdrawal
9,Transfer,2025-02-08 00:00:00,309.72,3071.94,transfer
1,Transfer,2025-04-15 00:00:00,281.76,-402.29,transfer
3,Withdrawal,2025-01-15 00:00:00,445.96,2851.47,withdrawal
9,Deposit,2025-02-04 00:00:00,148.06,3220.0,deposit
4,Transfer,2025-02-13 00:00:00,109.76,1881.44,transfer
9,Withdrawal,2025-02-02 00:00:00,453.61,2766.39,withdrawal
1,Deposit,2025-03-23 00:00:00,217.55,-184.74,deposit
5,Deposit,2025-01-01 00:00:00,173.44,3551.76,deposit
3,Transfer,2025-02-03 00:00:00,89.18,2762.29,transfer
9,Transfer,2025-02-24 00:00:00,284.84,2570.73,transfer
2,Transfer,2025-01-20 00:00:00,277.34,4393.53,transfer
10,Transfer,2025-01-19 00:00:00,220.6,1358.68,transfer
5,Withdrawal,2025-04-12 00:00:00,486.38,3065.38,withdrawal
1,Withdrawal,2025-01-27 00:00:00,344.21,-308.35,withdrawal
2,Withdrawal,2025-04-10 00:00:00,284.34,4109.19,withdrawal
7,Transfer,2025-04-06 00:00:00,85.73,3839.04,transfer
3,Deposit,2025-02-22 00:00:00,22.15,2784.44,deposit
6,Withdrawal,2025-04-13 00:00:00,338.25,2906.48,withdrawal
4,Withdrawal,2025-01-21 00:00:00,395.81,1571.36,withdrawal
2,Withdrawal,2025-01-05 00:00:00,430.71,3678.48,withdrawal
4,Deposit,2025-04-15 00:00:00,460.04,2031.4,deposit
6,Withdrawal,2025-04-12 00:00:00,436.95,2469.53,withdrawal
4,Deposit,2025-03-26 00:00:00,104.63,2136.03,deposit
6,Withdrawal,2025-01-09 00:00:00,483.78,1985.75,withdrawal
5,Withdrawal,2025-03-24 00:00:00,259.61,2805.77,withdrawal
9,Withdrawal,2025-01-04 00:00:00,66.52,2504.21,withdrawal
5,Deposit,2025-03-16 00:00:00,481.64,3287.41,deposit
5,Deposit,2025-01-14 00:00:00,302.32,3589.73,deposit
6,Transfer,2025-04-11 00:00:00,163.7,1822.05,transfer
2,Withdrawal,2025-03-15 00:00:00,103.14,3575.34,withdrawal
1,Transfer,2025-02-25 00:00:00,10.83,-319.18,transfer
4,Withdrawal,2025-02-25 00:00:00,44.29,2091.74,withdrawal
6,Transfer,2025-02-10 00:00:00,335.06,1486.99,transfer
5,Transfer,2025-02-09 00:00:00,336.78,3252.95,transfer
7,Transfer,2025-02-07 00:00:00,281.66,3894.16,transfer
7,Transfer,2025-02-18 00:00:00,341.89,3552.27,transfer
10,Transfer,2025-02-08 00:00:00,208.98,1324.23,transfer
5,Withdrawal,2025-01-27 00:00:00,220.65,3032.3,withdrawal
10,Transfer,2025-03-25 00:00:00,167.9,1156.33,transfer
8,Transfer,2025-01-28 00:00:00,260.48,4118.97,transfer
2,Withdrawal,2025-03-07 00:00:00,335.29,3575.11,withdrawal
10,Withdrawal,2025-01-12 00:00:00,411.03,745.3,withdrawal
4,Transfer,2025-02-09 00:00:00,120.07,2253.33,transfer
3,Deposit,2025-01-06 00:00:00,129.97,3516.78,deposit
8,Transfer,2025-04-09 00:00:00,45.69,4073.28,transfer
10,Deposit,2025-04-02 00:00:00,351.21,1096.51,deposit
8,Withdrawal,2025-02-01 00:00:00,82.31,3990.97,withdrawal
1,Deposit,2025-04-10 00:00:00,218.32,108.12,deposit
3,Transfer,2025-03-08 00:00:00,237.63,3279.15,transfer
4,Deposit,2025-02-28 00:00:00,75.34,2328.67,deposit
8,Transfer,2025-03-09 00:00:00,494.07,3496.9,transfer
8,Transfer,2025-04-15 00:00:00,362.44,3134.46,transfer
7,Transfer,2025-02-27 00:00:00,449.63,3148.33,transfer
