account_id,name,date,amount,new_balance,transaction_type
1,Check Deposit,2025-03-05 10:00:00,150.00,1650.00,Deposit
2,Check Deposit,2025-03-06 10:00:00,160.00,1660.00,Deposit
3,Check Deposit,2025-03-07 10:00:00,170.00,1670.00,Deposit
4,Check Deposit,2025-03-08 10:00:00,180.00,1680.00,Deposit
5,Check Deposit,2025-03-09 10:00:00,190.00,1690.00,Deposit
6,Check Deposit,2025-03-10 10:00:00,200.00,1700.00,Deposit
7,Check Deposit,2025-03-11 10:00:00,210.00,1710.00,Deposit
8,Check Deposit,2025-03-12 10:00:00,220.00,1720.00,Deposit
9,Check Deposit,2025-03-13 10:00:00,230.00,1730.00,Deposit
10,Check Deposit,2025-03-14 10:00:00,240.00,1740.00,Deposit
1,Check Deposit,2025-03-15 10:00:00,250.00,1750.00,Deposit
2,Check Deposit,2025-03-16 10:00:00,260.00,1760.00,Deposit
3,Check Deposit,2025-03-17 10:00:00,270.00,1770.00,Deposit
4,Check Deposit,2025-03-18 10:00:00,280.00,1780.00,Deposit
5,Check Deposit,2025-03-19 10:00:00,290.00,1790.00,Deposit
6,Check Deposit,2025-03-20 10:00:00,300.00,1800.00,Deposit
7,Check Deposit,2025-03-21 10:00:00,310.00,1810.00,Deposit
8,Check Deposit,2025-03-22 10:00:00,320.00,1820.00,Deposit
9,Check Deposit,2025-03-23 10:00:00,330.00,1830.00,Deposit
10,Check Deposit,2025-03-24 10:00:00,340.00,1840.00,Deposit
